POSIX,Digital Pins,Light State,Wheel Analog,Sync Pulse,Camera Pulse
1740614052252782,255,1,3.570,1,1
1740614052272389,255,1,3.570,1,1
1740614052291996,255,1,3.578,1,1
1740614052311603,255,1,3.578,1,1
1740614052331210,255,1,3.579,1,1
1740614052350817,255,1,3.571,1,1
1740614052370424,255,1,3.572,1,1
1740614052390031,255,1,3.579,1,1
1740614052409638,255,1,3.579,1,1
1740614052429245,255,1,3.578,1,1
1740614052448852,255,1,3.570,1,1
1740614052468459,255,1,3.570,1,1
1740614052488066,255,1,3.578,1,1
1740614052507673,255,1,3.578,1,1
1740614052527280,255,1,3.579,1,1
1740614052546887,255,1,3.570,1,1
1740614052566494,255,1,3.573,1,1
1740614052586101,255,1,3.571,1,1
1740614052605708,255,1,3.580,1,1
1740614052625315,255,1,3.579,1,1
1740614052644922,255,1,3.571,1,1
1740614052664529,255,1,3.571,1,1
1740614052684136,255,1,3.570,1,1
1740614052703743,255,1,3.578,1,1
1740614052723350,255,1,3.579,1,1
1740614052742957,255,1,3.571,1,1
1740614052762564,255,1,3.559,1,1
1740614052782171,255,1,3.571,1,1
1740614052801778,255,1,3.579,1,1
1740614052821385,255,1,3.579,1,1
1740614052840992,255,1,3.571,1,1
1740614052860599,255,1,3.571,1,1
1740614052880206,255,1,3.570,1,1
1740614052899813,255,1,3.578,1,1
1740614052919420,255,1,3.579,1,1
1740614052939027,255,1,3.571,1,1
1740614052958634,255,1,3.571,1,1
1740614052978241,255,1,3.571,1,1
1740614052997848,255,1,3.578,1,1
1740614053017455,255,1,3.579,1,1
1740614053037062,255,1,3.572,1,1
1740614053056669,255,1,3.571,1,1
1740614053076276,255,1,3.570,1,1
1740614053095883,255,1,3.578,1,1
1740614053115490,255,1,3.579,1,1
1740614053135097,255,1,3.578,1,1
1740614053154704,255,1,3.571,1,1
1740614053174311,255,1,3.572,1,1
1740614053193918,255,1,3.570,1,1
1740614053213525,255,1,3.578,1,1
1740614053233132,255,1,3.579,1,1
1740614053252739,255,1,3.571,1,1
1740614053272346,255,1,3.570,1,1
1740614053291953,255,1,3.579,1,1
1740614053311560,255,1,3.578,1,1
1740614053331167,255,1,3.578,1,1
1740614053350774,255,1,3.571,1,1
1740614053370381,255,1,3.572,1,1
1740614053389988,255,1,3.579,1,1
1740614053409595,255,1,3.579,1,1
1740614053429202,255,1,3.567,1,1
1740614053448809,255,1,3.572,1,1
1740614053468416,255,1,3.570,1,1
1740614053488023,255,1,3.578,1,1
1740614053507630,255,1,3.578,1,1
1740614053527237,255,1,3.578,1,1
1740614053546844,255,1,3.571,1,1
1740614053566451,255,1,3.572,1,1
1740614053586058,255,1,3.571,1,1
1740614053605665,255,1,3.579,1,1
1740614053625272,255,1,3.579,1,1
1740614053644879,255,1,3.571,1,1
1740614053664486,255,1,3.570,1,1
1740614053684093,255,1,3.571,1,1
1740614053703700,255,1,3.579,1,1
1740614053723307,255,1,3.578,1,1
1740614053742914,255,1,3.570,1,1
1740614053762521,255,1,3.571,1,1
1740614053782128,255,1,3.572,1,1
1740614053801735,255,1,3.579,1,1
1740614053821342,255,1,3.579,1,1
1740614053840949,255,1,3.572,1,1
1740614053860556,255,1,3.562,1,1
1740614053880163,255,1,3.575,1,1
1740614053899770,255,1,3.578,1,1
1740614053919377,255,1,3.578,1,1
1740614053938984,255,1,3.571,1,1
1740614053958591,255,1,3.570,1,1
1740614053978198,255,1,3.571,1,1
1740614053997805,255,1,3.578,1,1
1740614054017412,255,1,3.578,1,1
