Frame,TimeElapsedMicros,RawDifference,RMSE,SelectedPixelDifference,POSIX
252,25099.3125,423180.0,2.3583128,2028780,1721144335242
253,25199.624999999996,564284.0,2.2588534,1718700,1721144335342
254,25299.062499999996,325990.0,1.1472151,545955,1721144335442
255,25399.333333333332,810844.0,3.0062687,2656845,1721144335542
256,25499.604166666664,641740.0,2.64899,2528070,1721144335642
257,25599.562499999996,307839.0,1.3107489,1004700,1721144335742
258,25699.583333333332,389584.0,1.5386158,1012350,1721144335842
259,25799.416666666664,569292.0,2.8500283,2545155,1721144335942
260,25899.458333333332,316067.0,1.1432263,440640,1721144336042
261,25999.770833333332,515765.0,2.8319604,2400315,1721144336142
262,26099.625,390537.0,1.6150883,1010565,1721144336242
263,26199.666666666664,218723.0,0.83127767,63240,1721144336342
264,26299.625,613606.0,2.9409556,2785110,1721144336442
265,26399.25,556621.0,2.9107192,2514810,1721144336542
266,26499.625,430858.0,2.2236612,1430295,1721144336642
267,26599.854166666668,2254305.0,7.006759,11259270,1721144336742
268,26699.624999999996,1606147.0,5.6142817,10057200,1721144336842
269,26799.604166666664,1321788.0,5.3739586,7297845,1721144336942
270,26899.3125,487763.0,1.8380659,929985,1721144337042
271,26999.291666666664,1778968.0,5.6808414,5701035,1721144337142
272,27099.208333333332,2521536.0,5.8688245,8182950,1721144337242
273,27199.333333333332,898485.0,4.9568934,4592040,1721144337342
274,27299.145833333336,1524780.0,5.840113,8564430,1721144337442
275,27399.291666666668,4538455.0,6.2946906,5102550,1721144337542
276,27499.541666666664,1829978.0,4.5366707,2868495,1721144337642
277,27599.333333333336,1496130.0,6.7753468,6979350,1721144337742
278,27699.520833333332,2175034.0,8.216524,12183900,1721144337842
279,27799.229166666668,1746915.0,6.9832635,8446110,1721144337942
280,27899.520833333332,1387951.0,6.600381,5980260,1721144338042
281,27999.604166666664,1680558.0,5.767856,7657650,1721144338142
282,28099.541666666668,2486226.0,8.671693,13734555,1721144338242
283,28199.541666666664,2391750.0,8.35684,12747195,1721144338342
284,28299.645833333332,1870318.0,7.732503,8041935,1721144338442
285,28399.979166666664,1235087.0,5.33814,5351175,1721144338542
286,28499.541666666664,632179.0,3.783633,2094060,1721144338642
287,28599.249999999996,1836650.0,8.110131,6517800,1721144338742
288,28699.25,1404871.0,7.354176,5735460,1721144338842
289,28799.645833333332,1072877.0,5.0017943,4272525,1721144338942
290,28899.1875,1305002.0,4.2914295,4869225,1721144339042
291,29000.208333333332,2323054.0,8.231469,11167725,1721144339143
292,29099.999999999996,3520374.0,11.097859,20763120,1721144339243
293,29200.208333333332,2760371.0,9.215246,16231005,1721144339343
294,29299.687499999996,2597077.0,9.223753,16051230,1721144339442
295,29399.229166666664,1696544.0,7.856614,8664900,1721144339542
296,29499.208333333332,1086454.0,5.770397,3713565,1721144339642
297,29599.5,1444518.0,6.205144,6342870,1721144339742
298,29699.312499999996,1041130.0,4.9470134,4037925,1721144339842
299,29799.5,1092394.0,5.7603154,5171655,1721144339942
300,29899.729166666668,660762.0,3.1774268,2890680,1721144340042
301,29999.708333333332,1522457.0,5.746381,5312925,1721144340142
302,30099.854166666668,980043.0,4.8973174,5021205,1721144340242
303,30199.479166666668,763549.0,3.8837779,3273945,1721144340342
304,30299.520833333332,1163385.0,4.4726906,4030530,1721144340442
305,30400.3125,3964550.0,5.405425,3512880,1721144340543
306,30499.270833333336,668854.0,1.6478918,786420,1721144340642
307,30599.270833333332,1160739.0,4.7035685,4729995,1721144340742
308,30699.937499999996,631639.0,2.5530143,1801065,1721144340842
309,30799.958333333332,1460205.0,5.902615,5653095,1721144340942
310,30899.229166666664,2553384.0,7.9605346,14691570,1721144341042
311,30999.229166666664,740231.0,3.2402806,2663985,1721144341142
312,31099.229166666668,510461.0,2.2339993,1383120,1721144341242
313,31199.229166666664,1455731.0,5.1607127,4741980,1721144341342
314,31299.229166666668,845841.0,3.5686314,3397110,1721144341442
315,31399.208333333336,1285764.0,5.888132,6574665,1721144341542
316,31499.270833333336,525253.0,2.991857,2154240,1721144341642
317,31599.270833333332,753801.0,3.0255373,2299845,1721144341742
318,31699.229166666664,1116570.0,5.1983905,3973410,1721144341842
319,31799.354166666668,526071.0,1.9841384,1279845,1721144341942
320,31899.458333333332,585513.0,2.9875968,2163165,1721144342042
321,31999.479166666668,709601.0,3.7816894,2828715,1721144342142
322,32099.5,804836.0,3.76039,3109980,1721144342242
323,32199.458333333332,947824.0,4.2760544,3176025,1721144342342
324,32299.729166666664,1019127.0,4.4984913,3858915,1721144342442
325,32400.1875,779221.0,3.5817392,2725185,1721144342543
326,32499.520833333336,808527.0,3.9966247,3150525,1721144342642
327,32599.4375,928078.0,3.1423364,3329790,1721144342742
328,32699.458333333332,558454.0,2.518926,1903575,1721144342842
329,32799.1875,1105915.0,4.722354,4718520,1721144342942
330,32899.520833333336,466641.0,1.6672841,779535,1721144343042
331,32999.583333333336,892925.0,4.1536083,3268845,1721144343142
332,33099.47916666667,407503.0,2.3687146,1967580,1721144343242
333,33199.58333333333,701884.0,2.2895968,1458090,1721144343342
334,33299.8125,478905.0,1.9748392,1409895,1721144343442
335,33399.66666666667,3503931.0,4.109601,1603440,1721144343542
336,33499.479166666664,1232436.0,4.4102187,5444250,1721144343642
337,33599.20833333333,888307.0,4.374934,4142985,1721144343742
338,33700.041666666664,569999.0,3.052979,2541075,1721144343843
339,33799.229166666664,614580.0,3.8549776,3045720,1721144343942
340,33900.0625,911642.0,3.964369,4148595,1721144344043
341,33999.520833333336,650037.0,2.7318952,2180760,1721144344142
342,34099.5,501760.0,2.2223551,1778625,1721144344242
343,34199.5,339255.0,1.3225881,588795,1721144344342
344,34299.1875,1365432.0,4.8827305,7458750,1721144344442
345,34399.291666666664,1453493.0,5.3146024,8464215,1721144344542
346,34499.5,1360147.0,5.2314715,7889445,1721144344642
347,34599.25,700143.0,3.3528879,3333105,1721144344742
348,34699.8125,626353.0,2.8195798,2477325,1721144344842
349,34799.89583333333,570422.0,1.5916283,850170,1721144344942
350,34899.166666666664,417391.0,1.1516453,321300,1721144345042
351,34999.45833333333,957899.0,3.0440414,2828715,1721144345142
352,35099.645833333336,327198.0,1.0412234,195075,1721144345242
353,35199.4375,537033.0,1.4326779,618630,1721144345342
354,35299.166666666664,460501.0,1.6231071,1129905,1721144345442
355,35399.291666666664,851867.0,2.7658288,2740740,1721144345542
356,35499.14583333333,658934.0,2.7246056,2477580,1721144345642
357,35599.93749999999,546406.0,2.0514808,1514445,1721144345742
358,35699.104166666664,387112.0,1.530149,620160,1721144345842
359,35799.395833333336,481910.0,1.9758885,1505010,1721144345942
360,35899.1875,524876.0,2.3395944,1858185,1721144346042
361,35999.5,361605.0,1.5561441,818040,1721144346142
